well,target,test_frac,model,n_train,n_test,r2_train,r2_test,elapsed_sec
ZXX3,POIS,0.4,MLP_BP,2449,1633,0.9653,-13.2985,4.6
ZXX3,SHMAX,0.4,Linear_single,2449,1633,0.318,-0.1992,0.0
ZXX3,SHMAX,0.4,RF,2449,1633,0.9476,-0.9244,0.5
ZXX3,SHMAX,0.4,XGBoost,2449,1633,0.9319,-0.8316,0.3
ZXX3,SHMAX,0.4,MLP_BP,2449,1633,0.7435,-14.9983,5.7
ZXX6,YMOD,0.4,Linear_single,686,458,0.9481,0.8739,0.0
ZXX6,YMOD,0.4,RF,686,458,0.9937,0.3757,0.4
ZXX6,YMOD,0.4,XGBoost,686,458,0.9994,0.5107,0.2
ZXX6,YMOD,0.4,MLP_BP,686,458,0.9964,-13835.6587,4.6
ZXX6,SMOD,0.4,Linear_single,686,458,0.9699,0.8727,0.0
ZXX6,SMOD,0.4,RF,686,458,0.9929,0.4211,0.4
ZXX6,SMOD,0.4,XGBoost,686,458,0.9992,0.5643,0.2
ZXX6,SMOD,0.4,MLP_BP,686,458,0.9942,-42052.9477,1.7
ZXX6,POIS,0.4,Linear_single,686,458,0.9967,0.9319,0.0
ZXX6,POIS,0.4,RF,686,458,0.9986,0.6883,0.4
ZXX6,POIS,0.4,XGBoost,686,458,0.9821,0.5524,0.2
ZXX6,POIS,0.4,MLP_BP,686,458,0.6619,-459011.6406,1.2
ZXX6,SHMAX,0.4,Linear_single,686,458,0.0039,-0.0133,0.0
ZXX6,SHMAX,0.4,RF,686,458,0.984,-0.0154,0.4
ZXX6,SHMAX,0.4,XGBoost,686,458,0.995,-0.0156,0.2
ZXX6,SHMAX,0.4,MLP_BP,686,458,0.8437,-155.069,2.6
ZXX7,YMOD,0.4,Linear_single,1966,1310,0.9549,0.8471,0.0
ZXX7,YMOD,0.4,RF,1966,1310,0.9978,0.8968,0.4
ZXX7,YMOD,0.4,XGBoost,1966,1310,0.9997,0.8502,0.2
ZXX7,YMOD,0.4,MLP_BP,1966,1310,0.9954,-313.7799,3.4
ZXX7,SMOD,0.4,Linear_single,1966,1310,0.9586,0.8448,0.0
ZXX7,SMOD,0.4,RF,1966,1310,0.9985,0.914,0.4
ZXX7,SMOD,0.4,XGBoost,1966,1310,0.9997,0.8978,0.3
ZXX7,SMOD,0.4,MLP_BP,1966,1310,0.9989,-647.8717,2.3
ZXX7,POIS,0.4,Linear_single,1966,1310,0.9465,0.9509,0.0
ZXX7,POIS,0.4,RF,1966,1310,0.9874,0.9446,0.4
ZXX7,POIS,0.4,XGBoost,1966,1310,0.9859,0.9438,0.3
ZXX7,POIS,0.4,MLP_BP,1966,1310,0.9643,-11989.7324,3.2
ZXX7,SHMAX,0.4,Linear_single,1966,1310,0.5282,-0.3678,0.0
ZXX7,SHMAX,0.4,RF,1966,1310,0.9913,-11.2793,0.5
ZXX7,SHMAX,0.4,XGBoost,1966,1310,1.0,-12.1363,0.2
ZXX7,SHMAX,0.4,MLP_BP,1966,1310,0.9977,-44313.9123,6.1
