well,target,removed_feature,model,n_features,features,r2_train,r2_test,elapsed_sec,formula
ZXX3,YMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9978,0.8009,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX3,YMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9984,0.7904,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX3,YMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9946,0.6883,5.2,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX3,SMOD,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9602,0.9044,0.0,-0.2509 * DTS + 47.41
ZXX3,SMOD,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9884,-49.6461,0.0,linear_multi
ZXX3,SMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9985,0.8839,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX3,SMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9987,0.8563,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX3,SMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.998,0.5043,3.3,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX3,POIS,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9925,0.9571,0.0,0.3425 * RMSC + -0.3503
ZXX3,POIS,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9929,0.7654,0.0,linear_multi
ZXX3,POIS,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9992,0.9245,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX3,POIS,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9947,0.8402,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX3,POIS,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9767,-0.2892,2.9,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX3,SHMAX,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.2466,0.5545,0.0,45.26 * RMSC + 42.8
ZXX3,SHMAX,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.3981,-2553.227,0.0,linear_multi
ZXX3,SHMAX,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9326,0.1604,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX3,SHMAX,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9076,0.3702,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX3,SHMAX,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.7747,-33.3706,6.9,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX6,YMOD,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.878,0.6008,0.0,-677 * DTS + 1.212e+05
ZXX6,YMOD,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9944,-24.3135,0.0,linear_multi
ZXX6,YMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9934,-0.0841,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX6,YMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9984,0.1049,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX6,YMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9965,-7206.3278,4.9,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX6,SMOD,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9429,0.7076,0.0,-0.2802 * DTS + 50.62
ZXX6,SMOD,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.994,-43.8601,0.0,linear_multi
ZXX6,SMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9947,-0.042,0.3,"RF(n=300, depth=10, leaf=5)"
ZXX6,SMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9986,0.1267,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX6,SMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9963,-26063.2189,1.8,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX6,POIS,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.996,0.8803,0.0,0.4803 * RMSC + -0.5716
ZXX6,POIS,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9968,0.1534,0.0,linear_multi
ZXX6,POIS,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.998,0.689,0.3,"RF(n=300, depth=10, leaf=5)"
ZXX6,POIS,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9892,0.5698,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
