well,target,model,split_mode,r2_train,r2_test,mae_test,elapsed_sec,formula
ZXX3,SHMAX,MLP_BP,last20,0.3488,-103.249,49.1304,4.83,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX6,YMOD,Linear_single,last20,0.9515,0.7806,4377.8967,0.0,-978.1 * DTC + 1.089e+05
ZXX6,YMOD,Linear_multi,last20,0.9944,-23.6177,22670.0187,0.0,linear_multi
ZXX6,YMOD,Poly2,last20,0.9984,-576837.9963,2629852.6388,0.0,Poly(deg=2)
ZXX6,YMOD,Poly3,last20,0.9991,-1492383817235.672,3657388350.9636,0.01,Poly(deg=3)
ZXX6,YMOD,SVR_rbf,last20,0.9956,-1.0392,13176.2682,0.06,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)"
ZXX6,YMOD,RF,last20,0.9943,-0.0978,9194.7289,0.36,"RF(n=300, depth=10, leaf=5)"
ZXX6,YMOD,XGBoost,last20,0.999,0.0668,8420.2609,0.22,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX6,YMOD,MLP_BP,last20,0.9964,-8591.6648,442672.2844,5.54,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX6,SMOD,Linear_single,last20,0.8879,0.7748,1.7159,0.0,-0.3773 * DTC + 43.57
ZXX6,SMOD,Linear_multi,last20,0.994,-41.8947,10.3435,0.0,linear_multi
ZXX6,SMOD,Poly2,last20,0.9982,-887866.8893,1138.7917,0.0,Poly(deg=2)
ZXX6,SMOD,Poly3,last20,0.999,-1701356202731.0242,1354088.0291,0.01,Poly(deg=3)
ZXX6,SMOD,SVR_rbf,last20,0.995,-1.2508,4.8911,0.08,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)"
ZXX6,SMOD,RF,last20,0.9941,-0.0414,3.2674,0.38,"RF(n=300, depth=10, leaf=5)"
ZXX6,SMOD,XGBoost,last20,0.9987,0.0452,3.073,0.23,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX6,SMOD,MLP_BP,last20,0.9955,-35313.7033,312.883,1.95,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX6,POIS,Linear_single,last20,0.996,0.8803,0.0118,0.0,0.4803 * RMSC + -0.5716
ZXX6,POIS,Linear_multi,last20,0.9972,0.0016,0.0191,0.0,linear_multi
ZXX6,POIS,Poly2,last20,0.9995,-486809.6662,10.0384,0.0,Poly(deg=2)
ZXX6,POIS,Poly3,last20,0.9995,-75120404727.7694,3325.8213,0.01,Poly(deg=3)
ZXX6,POIS,SVR_rbf,last20,0.9971,-0.1311,0.0412,0.06,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)"
ZXX6,POIS,RF,last20,0.998,0.6894,0.0191,0.37,"RF(n=300, depth=10, leaf=5)"
ZXX6,POIS,XGBoost,last20,0.9892,0.57,0.0239,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX6,POIS,MLP_BP,last20,0.9209,-181407.514,8.2368,2.17,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX6,SHMAX,Linear_single,last20,0.8182,0.7264,2.8489,0.0,35.79 * RMSC + 27.38
