well,target,model,split,r2_train,r2_test,formula,well_desens
ZXX7,SHMAX,gplearn,OOD,0.9292,-4143551.8476,"(scaled) sub(sub(GR, div(div(CNL, 2.354), sub(2.341, div(div(sub(sub(DTS, GR), RMSC), 2.341), sub(2.341, DTC))))), div(div(div(CNL, sub(2.354, div(mul(RMSC, CAL), 2.315))), sub(2.341, DTC))",WellD
ZXX7,YMOD,gplearn,OOD,0.9786,-1157.7271,"(scaled) sub(mul(mul(add(add(add(add(add(add(add(sub(mul(2.984, GR), RMSC), div(DEN, RMSC)), div(DEN, RMSC)), div(DEN, mul(DEN, CAL))), mul(-1.240, DEN)), sub(GR, LLD)), div(-1.569, RMSC)),",WellD
ZXX7,POIS,gplearn,OOD,0.9648,0.9106,"(scaled) mul(0.987, RMSC)",WellD
ZXX6,SMOD,gplearn,OOD,0.9929,0.7744,"(scaled) sub(mul(0.220, DEN), div(DTS, div(-2.115, -2.057)))",WellC
ZXX6,SHMAX,gplearn,OOD,0.9511,0.0008,"(scaled) add(add(add(add(sub(RMSC, mul(0.196, DEN)), mul(mul(DTS, DEN), 0.073)), mul(add(sub(RMSC, sub(DEN, DTS)), add(sub(RMSC, mul(sub(sub(RMSC, sub(DEN, DTS)), CNL), add(RMSC, sub(DTS, C",WellC
ZXX6,YMOD,gplearn,OOD,0.9822,0.7148,"(scaled) sub(mul(DEN, 0.317), div(DTS, 1.048))",WellC
ZXX6,POIS,gplearn,OOD,0.996,0.8787,(scaled) RMSC,WellC
ZXX3,SMOD,gplearn,Random,0.9781,0.9777,"(scaled) sub(div(div(sub(RMSC, CNL), 2.752), 2.495), div(div(div(DTS, 1.048), 1.065), 1.048))",WellB
ZXX3,SHMAX,gplearn,Random,0.6269,0.6622,"(scaled) sub(sub(add(RMSC, DTC), div(DTS, 1.581)), div(CNL, 2.045))",WellB
ZXX3,YMOD,gplearn,Random,0.9818,0.9824,"(scaled) sub(mul(sub(mul(sub(sub(sub(sub(sub(sub(sub(sub(sub(sub(sub(sub(CNL, div(RMSC, DEN)), div(CNL, DEN)), div(RMSC, DEN)), div(RMSC, DEN)), div(CNL, div(DEN, RMSC))), sub(RMSC, DTC)), ",WellB
ZXX3,POIS,gplearn,Random,0.9815,0.9839,"(scaled) add(add(LLD, RMSC), sub(sub(CNL, LLS), CNL))",WellB
ZXX2,SMOD,gplearn,Random,0.9789,0.9821,"(scaled) sub(mul(mul(add(2.438, DTS), sub(DTS, mul(0.817, mul(add(add(2.238, LLD), DTC), 0.196)))), 0.196), DTS)",WellA
