well,target,model,r2_train,r2_test,mae_test,n_train,n_test,formula,well_desens
ZXX7,YMOD,Linear_multi,0.9953,-11.9834,5999.5284,2621,655,-739.8*DTC + -170.4*DTS + 2.014e+04*DEN + -26.97*GR + -40.28*CNL + 0.01145*LLD + -1.079*LLS + -1.516e+04*RMSC + 106.4*CAL + 12.11*AC + 8.527e+04,WellD
ZXX7,POIS,Linear_single,0.9648,0.9083,0.0116,2621,655,0.3244 * RMSC + -0.3077,WellD
ZXX7,POIS,SVR_rbf,-3.4961,-0.0359,0.044,2621,655,"SVR(rbf, C=10)",WellD
ZXX7,POIS,XGBoost,0.9985,0.8511,0.0125,2621,655,"XGBoost(n=200, depth=6)",WellD
ZXX7,POIS,Poly3,0.9966,-44710468963.159,409.7081,2621,655,"Poly(deg=3, n_terms=285)",WellD
ZXX7,POIS,Poly2,0.9953,-476247.2506,1.3403,2621,655,"Poly(deg=2, n_terms=65)",WellD
ZXX7,POIS,RF,0.9988,0.9406,0.0095,2621,655,RF(n=200),WellD
ZXX7,POIS,MLP_BP,-0.0755,-13404.8958,0.3932,2621,655,"MLP-BP(64,32)",WellD
ZXX7,POIS,Linear_multi,0.9724,-16.1962,0.0189,2621,655,0.0002179*DTC + -0.0003504*DTS + 0.01288*DEN + 0.0001117*GR + 0.0004128*CNL + 4.96e-09*LLD + -5.691e-07*LLS + 0.3486*RMSC + -0.0001239*CAL + 3.29e-05*AC + -0.3818,WellD
ZXX6,SMOD,Linear_single,0.8879,0.7748,1.7159,915,229,-0.3773 * DTC + 43.57,WellC
ZXX6,SMOD,SVR_rbf,0.997,-1.2576,4.9072,915,229,"SVR(rbf, C=10)",WellC
ZXX6,SMOD,XGBoost,1.0,0.1404,2.8758,915,229,"XGBoost(n=200, depth=6)",WellC
ZXX6,SMOD,Poly3,0.9992,-1002111665216.7466,748767.5789,915,229,"Poly(deg=3, n_terms=285)",WellC
ZXX6,SMOD,Poly2,0.9983,-322891.3648,705.3533,915,229,"Poly(deg=2, n_terms=65)",WellC
ZXX6,SMOD,RF,0.999,0.1161,2.9916,915,229,RF(n=200),WellC
ZXX6,SMOD,MLP_BP,0.9886,-6281.4008,131.2692,915,229,"MLP-BP(64,32)",WellC
ZXX6,SMOD,Linear_multi,0.9942,-55.7191,11.7749,915,229,-0.06488*DTC + -0.2538*DTS + 6.346*DEN + 0.001717*GR + -0.001257*CNL + 0.04069*LLD + -0.04269*LLS + -1.704*RMSC + 0.2253*CAL + 0.01176*AC + 35.03,WellC
ZXX6,SHMAX,Linear_single,0.0218,0.0714,114.3695,915,229,-0.01658 * LLD + 88.68,WellC
ZXX6,SHMAX,SVR_rbf,0.993,-0.0267,89.4956,915,229,"SVR(rbf, C=10)",WellC
ZXX6,SHMAX,XGBoost,0.9999,-0.0288,88.1019,915,229,"XGBoost(n=200, depth=6)",WellC
ZXX6,SHMAX,Poly3,0.9853,-25278041911.5024,16831735.5422,915,229,"Poly(deg=3, n_terms=285)",WellC
ZXX6,SHMAX,Poly2,0.9622,-2893.0538,6679.0942,915,229,"Poly(deg=2, n_terms=65)",WellC
ZXX6,SHMAX,RF,0.9975,-0.0288,88.1357,915,229,RF(n=200),WellC
ZXX6,SHMAX,MLP_BP,0.9545,-23.2645,884.3644,915,229,"MLP-BP(64,32)",WellC
ZXX6,SHMAX,Linear_multi,0.928,-0.0106,105.5648,915,229,-0.5341*DTC + 0.358*DTS + -7.045*DEN + 0.002232*GR + -0.18*CNL + -0.1581*LLD + 0.1783*LLS + 33.73*RMSC + 0.8063*CAL + 0.05658*AC + 35.8,WellC
